title	description	molecular subtype:ch1	patient id:ch1	istumor	seqdepth				
BC07_93	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1946				
BC07_95	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	nonTumor	1643				
BC07_96	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07	NA	1119				
BC07LN_02	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1179				
BC07LN_03	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1180				
BC07LN_04	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1308				
BC07LN_05	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1122				
BC07LN_06	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	775				
BC07LN_10	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	981				
BC07LN_13	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1339				
BC07LN_15	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1220				
BC07LN_16	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1273				
BC07LN_18	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1282				
BC07LN_19	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1215				
BC07LN_20	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	NA	4				
BC07LN_22	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1267				
BC07LN_23	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	993				
BC07LN_26	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	949				
BC07LN_27	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1373				
BC07LN_29	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	852				
BC07LN_31	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	862				
BC07LN_34	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1384				
BC07LN_35	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	939				
BC07LN_36	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	940				
BC07LN_40	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	948				
BC07LN_41	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1133				
BC07LN_42	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	919				
BC07LN_49	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1390				
BC07LN_50	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1259				
BC07LN_51	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1166				
BC07LN_52	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1267				
BC07LN_53	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1027				
BC07LN_54	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1139				
BC07LN_57	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1020				
BC07LN_59	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1361				
BC07LN_60	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1341				
BC07LN_62	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1565				
BC07LN_64	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1489				
BC07LN_67	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1649				
BC07LN_68	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1524				
BC07LN_71	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1047				
BC07LN_73	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1274				
BC07LN_75	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	993				
BC07LN_79	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	743				
BC07LN_81	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1272				
BC07LN_82	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1529				
BC07LN_83	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1177				
BC07LN_84	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1437				
BC07LN_86	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1273				
BC07LN_89	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1319				
BC07LN_91	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	620				
BC07LN_94	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1193				
BC07LN_95	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	Tumor	1010				
BC07LN_96	Single-cell RNA-seq	triple-negative breast cancer (TNBC)	BC07LN	nonTumor	1070				
BC01_11	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	NA	1020				
BC01_24	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	NA	1111				
BC01_49	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	NA	949				
BC01_50	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	nonTumor	863				
BC01_54	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	NA	787				
BC02_02	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1186				
BC02_08	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1278				
BC02_09	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1133				
BC02_10	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1065				
BC02_11	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	971				
BC02_12	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1022				
BC02_13	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1164				
BC02_14	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1119				
BC02_15	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1505				
BC02_18	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1029				
BC02_19	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	918				
BC02_22	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1133				
BC02_24	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1268				
BC02_25	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1416				
BC02_26	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC02	Tumor	1235				
